game_pk,at_bat_number,pitch_number,calculated_release_angle,calculated_avg_angle,release_frame,max_wrist_velocity,setup_angle,setup_std,max_pitch_angle,max_angle_frame,cocking_avg,cocking_std,accel_avg,accel_std,decel_avg,decel_std,follow_avg,follow_std,angle_range,avg_angle_change,total_analyzed_frames,output_video_path,detection_rate
813023,19,1,179.07020568847656,106.67894744873048,191,179.03846740722656,84.86821746826172,34.106842041015625,179.7266082763672,181.0,151.7473602294922,28.238168716430664,115.4653549194336,25.45444679260254,154.47705078125,11.994937896728516,126.56822204589844,35.23442459106445,44.92622375488281,12.410325050354004,342.0,videos/2025-10-28_813023_atbat_19_pitch_1_FF_4-Seam_Fastball_none_analyzed.mp4,96.40883977900552
813023,19,2,155.7383575439453,112.89177703857422,198,156.4721221923828,82.83150482177734,42.64436721801758,179.56930541992188,190.0,146.30113220214844,27.54165267944336,111.5641632080078,25.285627365112305,125.09029388427734,8.754345893859863,155.10147094726562,16.322370529174805,46.522735595703125,9.313761711120604,381.0,videos/2025-10-28_813023_atbat_19_pitch_2_FC_Cutter_none_analyzed.mp4,94.71153846153844
813023,19,3,109.43157196044922,115.37803649902344,186,168.0166015625,85.00146484375,40.63108825683594,169.5299835205078,181.0,135.46273803710938,16.794496536254883,128.95657348632812,39.74052810668945,152.60137939453125,17.37881088256836,149.55946350097656,33.98188018798828,94.15843963623048,11.671399116516112,360.0,videos/2025-10-28_813023_atbat_19_pitch_3_FF_4-Seam_Fastball_single_analyzed.mp4,91.54228855721394
813023,1,1,147.3499298095703,111.05906677246094,203,196.27459716796875,91.31696319580078,30.2281436920166,179.1502685546875,192.0,158.2499542236328,16.159738540649414,114.59706115722656,33.47419357299805,127.2445297241211,42.71829605102539,122.15579223632812,46.11588287353516,54.8037109375,16.7408504486084,512.0,videos/2025-10-28_813023_atbat_1_pitch_1_FF_4-Seam_Fastball_none_analyzed.mp4,80.99688473520249
813023,1,2,147.75482177734375,96.57191467285156,207,200.29409790039065,77.01280212402344,41.33015441894531,171.125732421875,205.0,154.41537475585938,8.337579727172852,153.48983764648438,8.057236671447754,113.2291488647461,44.72312545776367,111.15130615234376,29.26704788208008,29.657882690429688,8.267332077026367,382.0,videos/2025-10-28_813023_atbat_1_pitch_2_FF_4-Seam_Fastball_field_out_analyzed.mp4,96.95431472081218
813023,20,1,149.2493438720703,134.8277130126953,206,159.7408905029297,118.2358627319336,38.57717514038086,179.7119598388672,188.0,178.5058135986328,1.030595302581787,176.04026794433594,2.7340610027313232,175.70529174804688,1.884043574333191,,,2.2235107421875,7.195373058319092,263.0,videos/2025-10-28_813023_atbat_20_pitch_1_SL_Slider_none_analyzed.mp4,69.70443349753694
813023,20,2,163.13739013671875,116.27684020996094,195,192.0753936767578,80.1584701538086,35.67201614379883,176.0428924560547,175.0,132.84689331054688,27.766263961791992,147.06561279296875,13.04770565032959,149.07716369628906,6.35077714920044,171.7822723388672,5.302207946777344,58.08051300048828,10.182289123535156,324.0,videos/2025-10-28_813023_atbat_20_pitch_2_CU_Curveball_none_analyzed.mp4,88.11369509043928
813023,20,3,149.60360717773438,103.46288299560548,199,164.78709411621094,83.4165267944336,40.70741271972656,179.6636962890625,182.0,155.0906219482422,15.038477897644045,136.2949981689453,4.555537223815918,153.31114196777344,29.806638717651367,106.31875610351562,35.493709564208984,44.7291259765625,10.885316848754885,379.0,videos/2025-10-28_813023_atbat_20_pitch_3_FF_4-Seam_Fastball_none_analyzed.mp4,100.0
813023,20,4,21.843135833740234,101.15157318115234,201,245.55519104003903,102.4729461669922,40.00949096679688,179.29556274414062,71.0,150.85537719726562,17.50667953491211,58.22834777832031,20.039894104003903,61.28531265258789,31.42701530456543,,,85.2869873046875,15.893869400024414,246.0,videos/2025-10-28_813023_atbat_20_pitch_4_ST_Sweeper_home_run_analyzed.mp4,70.40816326530613
813023,21,1,133.6425018310547,140.0445098876953,198,224.1033477783203,93.25617980957033,37.92995071411133,178.2964630126953,82.0,148.3564910888672,23.01070976257324,169.1332244873047,3.637543916702272,171.98989868164062,4.189266204833984,,,13.745956420898438,9.90829372406006,256.0,videos/2025-10-28_813023_atbat_21_pitch_1_FF_4-Seam_Fastball_field_out_analyzed.mp4,76.21621621621621
