state,re_value,sample_size
3-1-1-1-1-1,2.1333333333333333,15
3-1-2-0-0-0,0.11444141689373297,367
3-1-2-0-0-1,0.3076923076923077,52
3-1-2-0-1-0,0.4824561403508772,114
3-1-2-0-1-1,0.6764705882352942,34
3-1-2-1-0-0,0.20833333333333334,144
3-1-2-1-0-1,0.6086956521739131,23
3-1-2-1-1-0,0.5064935064935064,77
3-1-2-1-1-1,1.3214285714285714,28
3-2-0-0-0-0,0.5726375176304654,1418
3-2-0-0-0-1,1.8666666666666667,15
3-2-0-0-1-0,1.1729323308270676,133
3-2-0-0-1-1,2.0,10
3-2-0-1-0-0,0.9246861924686193,239
3-2-0-1-0-1,2.0,34
3-2-0-1-1-0,1.5384615384615385,65
3-2-0-1-1-1,2.4,25
3-2-1-0-0-0,0.30643776824034336,1165
3-2-1-0-0-1,0.9310344827586207,87
3-2-1-0-1-0,0.5588235294117647,204
3-2-1-0-1-1,1.9,40
3-2-1-1-0-0,0.7441860465116279,344
3-2-1-1-0-1,1.5227272727272727,44
3-2-1-1-1-0,1.0165289256198347,121
3-2-1-1-1-1,1.411764705882353,51
3-2-2-0-0-0,0.1099476439790576,955
3-2-2-0-0-1,0.23076923076923078,104
3-2-2-0-1-0,0.30405405405405406,296
3-2-2-0-1-1,0.9058823529411765,85
3-2-2-1-0-0,0.19543973941368079,307
3-2-2-1-0-1,0.3684210526315789,38
3-2-2-1-1-0,0.34868421052631576,152
3-2-2-1-1-1,0.8148148148148148,54
